Designator,Footprint,Quantity,Value,LCSC Part #
BT50,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,3.7V,
C0,0805,1,10uF,
"C1, C70, C72, C74, C76, C78",0603,6,10uF,
"C10, C2, C31, C32, C33, C34, C35, C36, C40, C52, C53, C71, C73, C75, C77, C79",0603,16,0.1uF,
"C3, C30",0603,2,1uF,
"C50, C51",0603,2,4.7uF,
C54,0805,1,22uF,
C55,0805,1,47uF,
"C80, C81",0603,2,220uF,
"D1, D2, D3",D_SOD-523,3,LESD5D5.0CT1G,
D4,D_SOD-323,1,MMSZ5231B-7-F,
D50,0603,1,LED,
D51,0603,1,RED,
D52,0603,1,BLUE,
F0,0805,1,0805L075WR,
J1,USB_C_12402012E212A_AMP,1,12402012E212A,
J10,MEM2075-00-140-01-A_GCT,1,MEM2075-00-140-01-A,
J40,JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical,1,PH2.0,
J41,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,UART,
J70,Korean Hroparts Elec PJ-327C-4A,1,PJ-327A,
L50,1008,1,DFE252012P-1R0M=P2,
"Q10, Q40, Q50, Q70",SOT-23-3,4,DMP3068L-7,
R0,0603,1,5.1k,
"R1, R2, R58, R61, R63",0603,5,5.1kΩ,
"R11, R12, R13, R14, R15, R24, R3, R4, R57, R60, R64, R70, R71, R72, R73, R74, R75, R76, R77, R85, R95",0603,21,10kΩ,
"R16, R17, R18, R19, R20, R21, R23, R40, R41, R42, R43, R44, R45, R47, R56, R59, R83, R84, R86, R87, R88, R89, R90, R91, R92, R94",0603,26,0Ω,
"R22, R48, R93",0603,3,NC,
R50,0603,1,2 kΩ,
R53,0603,1,470Ω,
R54,0603,1,200kΩ,
R55,0603,1,110kΩ,
R62,0603,1,28kΩ,
R78,0603,1,100Ω,
"R79, R80, R82",0603,3,47kΩ,
SW30,SW_Push_1P1T_NO_CK_KSC6xxG,1,BOOT,
SW31,SW_Push_1P1T_NO_CK_KSC6xxG,1,RESET,
"SW32, SW33, SW34, SW35",SW_Push_1P1T_NO_CK_KSC6xxG,4,SW_Push,
"SW36, SW50",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,2,SW_SPST,
TP14,TestPoint_Pad_1.5x1.5mm,1,ADCDAT,
TP3,TestPoint_Pad_1.5x1.5mm,1,PSRAM35,
TP4,TestPoint_Pad_1.5x1.5mm,1,PSRAM36,
TP5,TestPoint_Pad_1.5x1.5mm,1,PSRAM37,
TP50,TestPoint_Pad_1.5x1.5mm,1,VBAT,
TP51,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,GND,
TP52,TestPoint_Pad_1.5x1.5mm,1,VSRC,
TP6,TestPoint_Pad_1.5x1.5mm,1,GPIO3,
TP7,TestPoint_Pad_1.5x1.5mm,1,GPIO45,
TP70,TestPoint_Pad_1.5x1.5mm,1,CLKOUT,
TP71,TestPoint_Pad_1.5x1.5mm,1,XTO,
TP72,TestPoint_Pad_1.5x1.5mm,1,LOUT,
TP73,TestPoint_Pad_1.5x1.5mm,1,ROUT,
TP74,TestPoint_Pad_1.5x1.5mm,1,BIAS,
TP8,TestPoint_Pad_1.5x1.5mm,1,GPIO46,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U50,SOT-23-5,1,MCP73831-2DCI/MC,
U51,SOT-353_SC-70-5,1,MIC841L,
U52,SOT-583-8,1,LM66200DRLR,
U53,SOT-583-8,1,TPS631000DRLR,
U70,SSOP-28_5.3x10.2mm_P0.65mm,1,WM8731SEDS,
