Designator,Mid X,Mid Y,Rotation,Layer
BT50,116.55,-103.75,180.0,top
C0,103.7,-84.0375,90.0,top
C1,138.45,-42.0375,90.0,top
C10,180.7375,-51.4,180.0,top
C2,139.95,-42.0375,90.0,top
C3,134.3,-43.2375,90.0,top
C30,198.35,-81.2675,90.0,top
C31,116.4,-44.8375,90.0,top
C32,198.35,-74.0675,90.0,top
C33,198.35,-66.63,90.0,top
C34,198.35,-88.4675,90.0,top
C35,198.4,-95.6375,90.0,top
C36,104.7625,-100.2,0.0,top
C40,163.8,-100.9,0.0,top
C50,93.6375,-89.35,0.0,top
C51,92.9375,-95.25,0.0,top
C52,106.6625,-90.46,180.0,top
C53,104.5625,-95.0,0.0,top
C54,118.2,-93.75,270.0,top
C55,123.4,-93.75,270.0,top
C70,109.575,-67.765,0.0,top
C71,109.575,-66.265,0.0,top
C72,105.1,-61.3625,270.0,top
C73,106.6,-61.3625,270.0,top
C74,119.3375,-55.2025,90.0,top
C75,117.8375,-55.2025,90.0,top
C76,109.5625,-52.3,0.0,top
C77,109.5625,-53.8,0.0,top
C78,116.975,-67.065,180.0,top
C79,116.975,-65.565,180.0,top
C80,94.1,-60.9375,90.0,top
C81,92.6,-60.9375,90.0,top
D1,99.7,-77.5,270.0,top
D2,99.7,-74.7,90.0,top
D3,107.1,-81.0,0.0,top
D4,108.75,-85.1,0.0,top
D50,89.5125,-99.5,180.0,top
D51,128.4125,-99.5,0.0,top
D52,108.4125,-99.5,180.0,top
F0,105.9,-84.025,270.0,top
J1,90.2297,-76.100001,270.0,top
J10,192.1248,-50.325001,90.0,top
J40,171.65,-104.03,0.0,top
J41,149.9,-103.55,180.0,top
J70,89.3175,-50.42625,0.0,top
L50,120.825,-89.8,0.0,top
Q10,180.25,-60.5375,90.0,top
Q40,158.5625,-99.95,0.0,top
Q50,134.45,-102.5625,270.0,top
Q70,113.0375,-70.665,180.0,top
R0,112.2125,-85.1,0.0,top
R1,90.5875,-82.4,180.0,top
R11,173.875,-46.7,180.0,top
R12,173.8375,-51.5,180.0,top
R13,173.875,-53.5,180.0,top
R14,173.875,-43.4,180.0,top
R15,173.9,-45.2,180.0,top
R16,169.3875,-44.3,180.0,top
R17,169.3875,-42.7,180.0,top
R18,169.4875,-52.5,180.0,top
R19,169.4875,-50.6,180.0,top
R2,90.5875,-69.8,180.0,top
R20,169.475,-47.6,0.0,top
R21,169.4875,-49.1,0.0,top
R22,168.4625,-58.425,90.0,top
R23,170.3625,-58.425,90.0,top
R24,173.9125,-55.2,180.0,top
R3,132.4,-43.1875,90.0,top
R4,183.2,-82.1875,90.0,top
R40,167.9,-99.6125,270.0,top
R41,170.4,-99.6125,270.0,top
R42,172.9,-99.6125,270.0,top
R43,175.4,-99.6125,270.0,top
R44,177.9,-99.6125,270.0,top
R45,180.4,-99.6125,270.0,top
R47,158.7125,-96.4,180.0,top
R48,162.1,-42.0125,270.0,top
R50,90.25,-90.1875,90.0,top
R53,88.6,-90.1875,90.0,top
R54,140.8875,-96.5,0.0,top
R55,137.0875,-95.0,180.0,top
R56,137.4125,-90.05,180.0,top
R57,103.1875,-90.46,0.0,top
R58,108.5375,-97.7,180.0,top
R59,140.9125,-95.0,0.0,top
R60,137.0875,-96.5,0.0,top
R61,123.3875,-97.96,0.0,top
R62,123.3875,-96.46,180.0,top
R63,128.4,-92.86,0.0,top
R64,119.2875,-97.06,0.0,top
R70,125.7875,-54.4,180.0,top
R71,125.8125,-56.2,180.0,top
R72,125.7875,-57.9,0.0,top
R73,125.7875,-59.4,0.0,top
R74,103.9125,-55.1,180.0,top
R75,101.0875,-59.9,180.0,top
R76,103.9125,-53.6,180.0,top
R77,125.7875,-52.7,0.0,top
R78,107.0,-52.5125,90.0,top
R79,125.7875,-60.9,180.0,top
R80,125.7875,-62.4,180.0,top
R82,125.7875,-63.9,180.0,top
R83,94.1,-54.1875,90.0,top
R84,92.6,-54.1875,90.0,top
R85,113.2,-45.4875,90.0,top
R86,133.4125,-54.3,180.0,top
R87,133.4125,-52.8,180.0,top
R88,133.4125,-51.3,180.0,top
R89,133.4125,-58.8,180.0,top
R90,133.4125,-55.8,180.0,top
R91,133.4125,-57.3,180.0,top
R92,133.4125,-49.8,180.0,top
R93,162.1,-45.4125,90.0,top
R94,117.8,-71.2875,90.0,top
R95,113.2,-48.9125,90.0,top
SW30,190.8,-81.23,0.0,top
SW31,123.75,-44.5,0.0,top
SW32,190.8,-73.93,0.0,top
SW33,190.8,-66.63,0.0,top
SW34,190.8,-88.53,0.0,top
SW35,190.85,-95.83,0.0,top
SW36,102.105,-103.9,0.0,top
SW50,126.4,-103.9,0.0,top
U1,150.7,-46.76,0.0,top
U50,92.85,-92.3125,270.0,top
U51,137.705,-92.5,270.0,top
U52,106.05,-92.72,270.0,top
U53,120.85,-93.9,270.0,top
U70,112.25,-60.025,270.0,top
